,text,label
361,"Tout d'abord, l'",9
85,Des films comme (,9
188,Il s'agit d'un S-,9
114,"En 2020, il pilote l'",9
158,Il est réintégré à l’,9
127,Et plus haut que moi…,9
17,Après la place d',9
194,Il sera condamné.,9
86,Des paroles d’A.,9
207,J’aime mes étudiants.,9
366,Très proche de l’,9
340,S’il s'agit bien d’,9
315,Plusieurs espèces (,9
323,Publié par BBC News.,9
345,Soit 2n ce nombre.,9
78,DC dans son ensemble.,9
69,Dans la banlieue d',9
212,Jones s'inscrit à l',9
316,Porte vers le noir.,9
177,Il meurt le à Essert.,9
38,Ce musée raconte l',9
123,Et est nulle sinon.,9
251,Le musée a le label «,9
183,Il progresse vers l',9
175,Il mesure au total.,9
302,Où êtes vous donc?,9
72,Dans le passage de l’,9
381,Un processus d’,9
238,Le deuxième secteur (,9
219,L'ancien château.,9
120,En usage comme tel.,9
6,Ainsi opposé à l',9
209,Je n’y étais pas.,9
143,Il est bordé par l',9
349,Strähl est suspendu.,9
83,Des éclats de type «,9
200,"Il y a, comme dans l'",9
121,Environ 15 minutes.,9
3,Ainsi aux procès d',9
50,"C'est, avec Brisach (",9
279,L'un des deux meurt.,9
192,Il se déroule à l’,9
145,Il est du type MAS.,9
140,Il entre alors à l',9
246,Le lycée agricole d',9
130,Fabriquée à base d',9
9,Aix est située à d',9
380,Un petit groupe d',9
273,L'ironie veut que l',9
351,Sur le thème d',9
354,Tartes aux fruits.,9
39,Ce ne fut qu'après l',9
325,Quatre types d',9
119,» en une seule prise.,9
75,Dans un profil d',9
239,Le Duomo dédié à l’,9
109,"En 1961, elle crée l’",9
258,Le retour vers l',9
117,En plus de la gare d',9
346,Son contrat avec l',9
122,Étang pour la pêche.,9
358,Total 340 croix.,9
309,Par Monsieur de L**.,9
132,» fait polémique.,9
67,Crois-moi sur parole.,9
363,"Très bon, hein?",9
374,Une réplique à l',9
45,Ce relief soumis à l’,9
225,La régence dure peu.,9
295,On dit une ache.,9
106,Émue par le sort d',9
243,Le il a signé avec l',9
292,Noël sur les Flûtes.,9
260,Les cinq fils d',9
267,Les matchs contre l',9
64,Comme en période d’,9
152,Il est lancé par l',9
329,Salon à Grand-Popo.,9
275,Lors de son année d’,9
46,Ces conditions d',9
92,» d'un côté et les «,9
378,Un grand nombre d',9
334,Sans remonter à l’,9
33,Cav des salles 1757.,9
387,Vue du sud du massif.,9
198,Il vient du terme «,9
337,Ses préférés sont l',9
181,Il passe une année (,9
379,Un guide pour tous.,9
213,Keller vit sur l',9
91,Donc est compact.,9
89,Deux unités de l',9
139,Il écrit pour RT (,9
147,Il est élève d',9
118,"Ensuite, il fixe l’",9
277,"Lorsque, après l'",9
30,Billet d'un dollar.,9
20,"», au centre le «",9
2,Aide à la recherche.,9
229,La Toledo a reçu à l’,9
241,Le feu n'y est plus.,9
111,"En 1991, il crée l'",9
288,"Néanmoins, après l'",9
308,» par les Marines.,9
54,"C'est pourquoi, l'",9
180,Il occupe le poste d',9
74,Dans les villes (,9
383,Vahase est une île d',9
107,"En 1908, il visite l'",9
199,Il vit dans toute l',9
291,Noé et ses fils.,9
227,L’arrêt est prononcé.,9
70,» dans le métier d',9
87,Des sculptures à l',9
370,Un débat est ouvert.,9
149,Il est fou et cruel.,9
286,Nations membres de l',9
386,"Voir DEJ, page 1408.",9
304,"Oui, sa beauté"".",9
159,Il est remis par l',9
82,Des cinq universaux).,9
26,Aussi depuis l’,9
4,Ainsi celle de l',9
88,Deux otages à sauver.,9
215,La Fin du monde (,9
320,Pourrait faire mieux.,9
338,Si la longueur de l',9
128,Et si nous dansions?,9
368,Trois autres (l',9
298,On note aussi que l',9
195,Ils ont 5 enfants.,9
233,Le château d'origine.,9
220,L'ancien joueur de l',9
51,C'est ce travail d',9
356,Théâtre de rue.,9
161,Il est sorti en 1974.,9
73,Dans le sud de l',9
113,"En 2009, au côté d'",9
272,Ligue des Champions.,9
201,Il y appelle à l',9
112,"En 1999, il lance l’",9
71,Dans le milieu de l',9
135,Heine avait raison.,9
385,Vidar à cheval.,9
352,Surtout pour Minnie.,9
44,Ce qui rend unique l',9
49,C'est alors que Max (,9
341,Site de pêche réputé.,9
205,J'ai été témoin.,9
136,Il a lieu en juillet.,9
336,"Selon les sources, l'",9
154,Il est né le dans l',9
339,Si les principes d',9
169,Il fut convenu que l',9
102,Elle mesure au total.,9
262,Le seul avion de l',9
105,Elles sont parfumées.,9
98,Elle est connue à l',9
211,Je vous en prie.,9
163,Il est suivi de l',9
61,Cette œuvre de l',9
185,Il remporte face à l',9
283,Mise en scène d',9
1,Afin de combattre l',9
133,Formé au métier d',9
186,Il repose à Cachan.,9
151,Il est géré par.,9
13,"Alors, selon l'",9
150,Il est frère d',9
25,"Au sens premier, l’",9
